"partner_type","organization","website","hq_state","states_served","est_hospitals_reached","reach_source_url","partner_motion","program_evidence","program_source_url","existing_rcm_or_denials_partner","competitor_risk","competitor_risk_reason","montana_or_meditech_tie","priority","priority_reason","date_checked"
"CPA / advisory firm","PYA","pyapc.com","TN","National (all 50 states); offices GA, NC, KS, TN, FL","15+ Nebraska hospitals in NHA Revenue Cycle Residency (2024); national rural client base NOT_FOUND (count)","https://www.pyapc.com/insights/pya-joins-nebraska-hospital-association-to-celebrate-inaugural-residency-program/","refer/endorse/fund","Center for Rural Health Advancement (Martie Ross); NHA Revenue Cycle Residency content and delivery; Kansas RHTP: PYA $1.5M commercial rate analysis (A_rhtp source)","https://www.pyapc.com/rural-healthcare-services/ ; https://www.pyapc.com/insights/pya-joins-nebraska-hospital-association-to-celebrate-inaugural-residency-program/","Own ""Denials and Appeals Management"" advisory","med","Lists ""Denials and Appeals Management"" and ""Revenue Management Overwatch"" advisory (https://www.pyapc.com/healthcare-managed-care-reimbursement/); advisory, not a filing product.","N","A","(judgment) State-association RC training channel (NE) and state RHTP contract (KS) give an active mechanism; overlap is advisory.","2026-09-24"
"CPA / advisory firm","Carr, Riggs & Ingram (CRI)","criadv.com","AL","Southeast, TX + national","""hundreds of hospitals and health systems"" (CRI); 65+ hospital clients (c. 2021 PDF, stale)","https://www.criadv.com/industry/hospitals-health-systems/","refer","Hospital practice: cost reports, billing office reviews; ""partnerships with various hospital associations"" (per CRI)","https://www.criadv.com/wp-content/uploads/2021/10/Hospital-Health-Systems-and-Healthcare.pdf","none found","low","No RCM/denials product found.","N","B","(judgment) Large hospital reach and open slot; revenue cycle work limited to billing office reviews, no live program found.","2026-09-24"
"CPA / advisory firm","LBMC","lbmc.com","TN","Southeast","NOT_FOUND","https://www.lbmc.com/services/healthcare-consulting/revenue-cycle-management/","refer","RCM consulting across front/middle/back incl. denial management, resource support and interim leadership (per LBMC)","https://www.lbmc.com/services/healthcare-consulting/revenue-cycle-management/","Own denial management services","med","Provides denial management work and RC resource support (staff augmentation); partial overlap.","N","B","(judgment) Documented RC practice, but rural reach unquantified and overlap medium.","2026-09-24"
"CPA / advisory firm","HORNE LLP","horne.com","MS","MS, LA, TN, AL","111 nonprofit clients, most hospitals/assisted living (Cause IQ third-party estimate)","https://www.causeiq.com/vendors/horne-llp,4471164484030361062/","refer/fund","Mississippi Division of Medicaid RHTP application contract (NTE $150,000, Aug-Dec 2025)","https://medicaid.ms.gov/wp-content/uploads/2025/08/Contract_Award_Analysis_Rural-Health.pdf","none found","low","No RCM/denials product found.","N","B","(judgment) State RHTP advisory role and Deep South hospital base; hospital count is third-party and RC practice not documented.","2026-09-24"
"CPA / advisory firm","Plante Moran","plantemoran.com","MI","Midwest + national","1,200+ cost reports/yr, all provider types (Plante Moran)","https://www.plantemoran.com/explore-our-thinking/areas-of-focus/reimbursement-and-payment-advisory-services","refer","Reimbursement advisory; CAH case studies (Clay County Hospital turnaround; Baraga County Memorial feasibility)","https://www.plantemoran.com/explore-our-thinking/case-studies/restructuring-opportunities-drive-small-town-hospitals-success","Unnamed ""technology partner"" for Medicare bad debt listings","low","No RCM/denials product found.","N","B","(judgment) Scale and open slot, but no rural RC program; CAH share of cost reports unknown.","2026-09-24"
"CPA / advisory firm","Baker Tilly (incl. former Moss Adams)","bakertilly.com","IL/WA","National; West via Moss Adams","NOT_FOUND (count); 250+ healthcare consulting professionals serving ""small rural facilities"" to large systems","https://www.bakertilly.com/industries/healthcare/hospitals-and-health-systems","refer/integrate","Technology alliances program (Definitive Healthcare, MediSpend); CAH turnaround case after Cerner CommunityWorks conversion (AR days -28%); Distressed & Underperforming Hospital Solutions","https://www.bakertilly.com/services/technology-alliances ; https://www.bakertilly.com/insights/case-study-hospital-financial-turnaround","Historic Revenue Cycle Innovation Center with AcuStream, Recondo etc. (2018, stale); no current denials alliance","low","Advisory; formal alliance program exists but no denials/appeals partner listed.","Y: Led RC recovery for a Pacific NW CAH on Oracle Health CommunityWorks (Baker Tilly case, 2024)","A","(judgment) Only CPA firm found with a formal technology alliance program and an Oracle CommunityWorks CAH case; reach count unconfirmed, lifted by Oracle tie.","2026-09-24"
"CPA / advisory firm","Warren Averett","warrenaverett.com","AL","Southeast","""hundreds of hospitals, nursing facilities and physician practices"" (2017 page, stale)","https://warrenaverett.com/industries/healthcare/physician-practices/","refer","Alabama Hospital Association sponsor","https://www.alaha.org/sponsors/","none found","low","No RCM/denials product found.","N","B","(judgment) Open slot and stated hospital reach (stale), no RC program found.","2026-09-24"
"CPA / advisory firm","Brown Edwards","becpas.com","VA","VA, WV, TN","NOT_FOUND","https://becpas.com/industries/healthcare/","refer","Healthcare team lists ""revenue cycle management, cost reporting"" incl. former hospital CFO and certified coder (per Brown Edwards)","https://becpas.com/industries/healthcare/","none found","low","RC consulting only.","N","B","(judgment) Documented RC services and open slot; rural hospital reach unquantified.","2026-09-24"
"CPA / advisory firm","Toyon Associates","toyonassociates.com","CA","National (CA, TX, TN)","""hundreds of cost reports annually"" (skews to systems)","https://www.toyonassociates.com/annual-reporting","refer","Medicare cost report prep/audit/appeals (per Toyon)","https://www.toyonassociates.com/annual-reporting","none found","low","Reimbursement only.","N","C","(judgment) Rural/CAH reach not evidenced and no RC program.","2026-09-24"
"CPA / advisory firm","FTI Consulting","fticonsulting.com","DC","National","NOT_FOUND (large systems, physician groups, PE-backed providers)","https://healthtechnologyinsights.com/penguin-ai-and-fti-partner-to-boost-revenue-cycle-performance/","integrate","Dec 2025 collaboration integrating Penguin Ai's AI denial and appeals workflow into FTI RCM transformation and managed services (reference model for a CPA/advisory AI-appeals alliance)","https://www.prnewswire.com/news-releases/penguin-ai-and-fti-unite-expertise-to-deliver-next-generation-revenue-cycle-performance-302644649.html","Penguin Ai","high","Already allied with an AI appeals vendor and runs managed RCM services.","N","C","(judgment) Slot taken and not rural-focused; keep only as the alliance template to show other firms.","2026-09-24"
"CPA / advisory firm","Chartis (Chartis Center for Rural Health)","chartis.com","IL","National","750+ rural and CAHs used its analytics framework (Chartis CCRH PDF, 2022)","https://info.chartis.com/hubfs/CCRH/Chartis%20Center%20for%20Rural%20Health_Strategic%20Advisory_2022.pdf?hsLang=en","refer/endorse","Chartis Center for Rural Health (INDEX benchmarking, network advisory; Utah SHIP partner per TASC); separate Revenue Cycle Transformation practice (per Chartis)","https://www.chartis.com/expertise/rural-health ; https://www.ruralcenter.org/spotlight/utah-office-primary-care-and-rural-health","none found","low","Advisory and benchmarking; no outsourced RCM found.","N","A","(judgment) Rural network/benchmarking reach is large and the firm advises networks and states; RC practice exists; not a CPA firm but fits the advisory type.","2026-09-24"
"CPA / advisory firm","Healthcare Management Partners","hcmpllc.com","TN","National","NOT_FOUND (~24 staff per LinkedIn)","https://www.linkedin.com/company/healthcare-management-partners-llc","refer","Interim C-suite and receivership management for distressed hospitals","https://hcmpllc.com/services/strategic-operations-management/","NOT_FOUND","low","No RCM product found.","N","C","(judgment) Small, episodic distressed-hospital work; no rural reach or program found.","2026-09-24"
"CPA / advisory firm","Lutz & Company","lutz.us","NE","NE + Midwest","50+ CAHs in NE and midwestern states (Lutz proposal to NE DHHS, undated)","https://das.nebraska.gov/materiel/purchasing/6134/6134%20Z1%20Lutz%20Proposal.pdf","refer","Bid on NE DHHS Flex-funded CAH Financial & Operational Assessment (award NOT_FOUND); proposal describes on-site revenue cycle reviews incl. ""recommendations on denials management"" (per Lutz)","https://das.nebraska.gov/materiel/purchasing/6134/6134%20Z1%20Lutz%20Proposal.pdf","none found","low","Assessment/reimbursement work; no appeals service found.","N","A","(judgment) 50+ CAH clients and a documented CAH revenue cycle review practice that flags denials; confirm Flex award status.","2026-09-24"
"CPA / advisory firm","Wendling Noe Nelson & Johnson","wnnjcpa.com","KS","KS","~35 hospitals and 40 nursing facilities annually (WNNJ, 2015 page, stale)","https://wnnjcpa.com/audit/","refer","Hospital audits, Medicare/Medicaid cost reports, reimbursement consulting (per WNNJ)","https://wnnjcpa.com/audit/","none found","low","Audit/reimbursement only.","N","B","(judgment) Meaningful Kansas CAH audit base, open slot, no RC program.","2026-09-24"
"CPA / advisory firm","Parrish, Moody & Fikes","NOT_FOUND","TX","TX + surrounding states","150+ hospitals and other health care providers (directory listing, undated)","https://tex.biznet-us.com/firms/401165/","refer","Rural community hospital CPA niche; TORCH and THA member (directory listing)","https://tex.biznet-us.com/firms/401165/","none found","low","Audit/reimbursement only.","N","B","(judgment) Likely a large Texas rural hospital audit base (weak, undated source); no RC program.","2026-09-24"
"CPA / advisory firm","Dohman, Akerlund & Eddy","daecpa.com","NE","NE","~30 health care organization clients (DAE)","https://www.daecpa.com/health-care.php","refer","CAH cost reporting and interim settlement templates (per DAE)","https://www.daecpa.com/health-care.php","none found","low","Audit/cost report only.","N","C","(judgment) Small reach, no program.","2026-09-24"
"CPA / advisory firm","KEB (Kerber, Eck & Braeckel)","kebcpa.com","IL","IL, MO, AR, KY","NOT_FOUND (""primarily with rural hospitals and clinics"")","https://www.kebcpa.com/specialties/healthcare-providers-medical-practices/","refer","CAH audits, cost reporting and reimbursement (per KEB)","https://www.kebcpa.com/specialties/healthcare-providers-medical-practices/","none found","low","Audit/reimbursement only.","N","C","(judgment) Rural focus but no count or program found.","2026-09-24"
"CPA / advisory firm","Welch, Couch & Company","welchcouch.com","AR","AR, MO","50+ healthcare clients in AR incl. hospitals (Welch Couch)","https://www.welchcouch.com/products-services/healthcare-industry","refer","CAH consulting, cost reports, ""Revenue cycle analysis"" (per Welch Couch)","https://www.welchcouch.com/products-services/healthcare-industry","none found","low","Consulting only.","N","C","(judgment) Small mixed-provider base; hospital count below threshold.","2026-09-24"
