"partner_type","organization","website","hq_state","states_served","est_hospitals_reached","reach_source_url","partner_motion","program_evidence","program_source_url","existing_rcm_or_denials_partner","competitor_risk","competitor_risk_reason","montana_or_meditech_tie","priority","priority_reason","date_checked"
"Complementary finance-office vendor","Health Financial Systems (HFS)","hfssoft.com","CA","national","NOT_FOUND (count). Per HFS, 'used to prepare more cost reports than any other cost report system'; also used by most MACs","https://hcris.hfssoft.com/iFrame/Support/icompany.aspx","integrate/refer","Reseller channel exists for HFS itself (The Health Group reseller agreement); HFS+ built with FORVIS; user conference Oct 15-16, 2026 Las Vegas. No inbound partner program found","https://healthgroup.com/products/","none found","low","Medicare cost report software only","N","B","(judgment) Near-universal presence at CAH finance offices, but no inbound partner program; better as a conference/co-marketing venue.","2026-09-24"
"Complementary finance-office vendor","Toyon Associates (Absolute software)","toyonassociates.com","CA","national (CA, TX, TN offices)","NOT_FOUND. Testimonials skew to large/multi-state systems","https://www.toyonassociates.com/absolute","refer","No partner program found. Absolute cost report workpaper software plus reimbursement consulting","https://www.toyonassociates.com/absolute","none found","med","Sells 'Medicare and Medicaid Appeals' (cost report/reimbursement appeals, not claim denials)","N","C","(judgment) Adjacent appeals practice and large-system skew; low rural reach evidence.","2026-09-24"
"Complementary finance-office vendor","CostFlex Systems","costflex.com","NOT_FOUND","national","NOT_FOUND (count). CAH CFO testimonials (Western region); North Valley Hospital, Whitefish MT case study (undated)","https://www.costflex.com/wp-content/uploads/CostFlex_Whitepaper_ClientSharedStory_CostReimbComputationsCAH.pdf","integrate/refer","No partner program found. Cost accounting/DSS; integrates with Epic, Oracle Health Cerner, MEDITECH, CPSI per CostFlex","https://www.costflex.com/software-products/costflex-core-dss-engine/","none found","low","Cost accounting and contract modeling; a client used it to find underpayments, but no appeals work","Y: Montana CAH client (North Valley Hospital, Whitefish); MEDITECH/Oracle integration","C","(judgment) Complementary with a Montana client, but small vendor with no program and unknown reach.","2026-09-24"
"Complementary finance-office vendor","Multiview ERP","multiviewcorp.com","ON (Canada); US ops","national; rural network ties in MN, NE, OH, ND, MT, WI, KS, IL, TX, ME, Southeast","Over 4% of US hospitals, 'a significant number' rural CAHs (2024); 'more than 400 rural healthcare finance leaders' per Multiview; exclusive ERP for 6 Cibolo HVNs incl. Yellowstone HVN (24 MT CAHs)","https://multiviewcorp.com/news/cibolo-health-names-multiview-as-exclusive-preferred-erp-partner-across-six-rural-high-value-networks/","refer/integrate","Partners page with a 'Become a Multiview Partner' form; NRHA Pipeline Partner; Cibolo exclusive preferred ERP (Mar 2026); GPHA preferred (2024); ICAHN Blue Star; HomeTown Health Gold; RWHC, TORCH, Medi-Sota, MN HA","https://multiviewcorp.com/partners/","none found","low","ERP/financials only; no revenue cycle or appeals product","Y: MEDITECH and Oracle Health standard integrations; Cibolo Montana HVN exclusive ERP","A","(judgment) Sits in the CAH CFO's office across many rural networks, including Montana, with a published partner intake and no appeals overlap.","2026-09-24"
"Complementary finance-office vendor","Health Information Associates (HIA)","hiacode.com","SC","national","NOT_FOUND (count). ~134 staff per LinkedIn (phase 1); CAH package case study (CAH with 10 RHCs)","https://hiacode.com/critical-access-hospitals","refer","Flat-fee 'Critical Access Package' (coding support, audits, education). No partner program or association endorsement found","https://hiacode.com/critical-access-hospitals","none found","med","Offers to 'review those denials to confirm that they are truly a coding error and determine if they can be appealed' (triage, not appeal writing)","N","C","(judgment) Could hand off appealable coding denials, but no program or rural reach numbers found.","2026-09-24"
"Complementary finance-office vendor","HMI LLC","hmi-corp.com","TN","national","NOT_FOUND (count)","https://hmi-corp.com/who-we-serve/critical-access-hospitals.html","refer","No partner program found. CAH coding, chargemaster and compliance services","https://hmi-corp.com/","none found","high","Per HMI, it provides 'physician advisors for review and appeals of denials' and RAC appeal services","N","C","(judgment) Sells denial appeal services itself; not a clean complement.","2026-09-24"
"Complementary finance-office vendor","ArchPro Coding (ARCHPRO)","archprocoding.com","NOT_FOUND","national (all 50 states per ArchPro)","State Flex/SORH-funded CAH bootcamps: MN (77 CAHs), WA (2026), WY (2025), IL SHIP training to 61 hospitals; '3,000 courses in all 50 states' per ArchPro","https://waportal.org/health-initiatives/rural-health-resource-hub/articles/coding-and-billing-certification-bootcamps","endorse/refer","Membership association issuing the only CAH coding certification (CAH-CBS); sessions co-hosted with state associations and SORHs; site lists 'Our Sponsors' (sponsor slot, terms NOT_FOUND)","https://www.archprocoding.com/","none found","low","Education and certification only; curriculum covers 'common issues that impact denials' but no appeal services","N","A","(judgment) Reaches CAH revenue cycle staff through live state-funded programs in 2026 and has a sponsor model; education content is a natural co-teaching slot.","2026-09-24"
"Complementary finance-office vendor","The SSI Group","thessigroup.com","AL","national (50+ states and territories)","NOT_FOUND (count). 'Exclusive claims management and eligibility partner' for all MEDITECH MaaS clients; 250+ rural sites on Expanse (MEDITECH, phase 1)","https://ehr.meditech.com/vendors/ssi-healthcare-revenue-cycle-solutions","integrate/refer/resell","MEDITECH vendor listing (MaaS compatible); 2026 MUSE exhibitor; past VAR deal with Siemens (2010, stale). No current inbound partner program found","https://ehr.meditech.com/vendors/ssi-healthcare-revenue-cycle-solutions","own denial management module","med","Sells denial prevention, 'real-time denial insights' and appeal deadline tracking; workflow tools, not appeal writing","Y: exclusive MEDITECH MaaS claims partner","B","(judgment) Touches nearly every rural MaaS site; a data or referral tie could help, but its own denial module makes it a medium risk.","2026-09-24"
"Complementary finance-office vendor","Acmeware","acmeware.com","MA","US, Canada, Australia, Caribbean","100+ MEDITECH hospitals per Acmeware (community hospital focused)","https://acmeware.com/about","integrate","OneLink vendor program: per Acmeware it is 'a channel into the market' giving vendors MEDITECH Data Repository feeds; MEDITECH Alliance Collaborator","https://acmeware.com/vendors","none found","low","Data integration and quality reporting only","Y: MEDITECH-only firm; MEDITECH Alliance Collaborator","A","(judgment) Published vendor channel into MEDITECH hospitals with no appeals overlap. Its reach is community (not only CAH), but the MEDITECH tie lifts it to A.","2026-09-24"
"Complementary finance-office vendor","Paymentus","paymentus.com","NC","US and Canada","NOT_FOUND (count). Per Paymentus, serves 'Community and Regional Hospitals' among thousands of clients","https://www.paymentus.com/healthcare/","integrate","Oracle Health validated (2023); MEDITECH integration; MUSE 2026 exhibitor (phase 1 H). No association endorsement or referral program found","https://www.paymentus.com/industry-insights/paymentus-patient-billing-payments-validated-oracle-health-developer-program/","none found","low","Patient billing and payments only","Y: MEDITECH integration and Oracle Health validated app","C","(judgment) EHR-integrated but enterprise-scale and no rural endorsements or partner program found.","2026-09-24"
