"partner_type","organization","website","hq_state","states_served","est_hospitals_reached","reach_source_url","partner_motion","program_evidence","program_source_url","existing_rcm_or_denials_partner","competitor_risk","competitor_risk_reason","montana_or_meditech_tie","priority","priority_reason","date_checked"
"State hospital association service arm","FHA Management Corporation (Florida Hospital Association)","fha.org","FL","FL","200+ hospitals/systems (FHA 2023 AR); 10 CAHs (FMT 2024)","https://fha.org/common/Uploaded%20files/FHA/AnnualReport_FHA_2023%20REV6.pdf","sponsor/endorse (historic)","Sponsorship tiers $10k-$50k; vendors must sponsor to attend Annual Meeting; current endorsed list NOT_FOUND (per FHA prospectus)","https://fha.org/Common/Uploaded%20files/FHA/Sponsor%20Uploads/FHA_Annual_Meeting_Sponsor_Prospectus.pdf","none found (VisiQuate endorsed 2015, stale)","low","No current RCM endorsement found.","N","B","(judgment) Open and large, but low rural fit and the endorsement path is unclear; managed care conference is an entry.","2026-09-24"
"State hospital association service arm","Georgia Hospital Health Services (GHHS, Georgia Hospital Association)","gha.org/ghhs","GA","GA","145 member hospitals (HSP 2024); 29 CAHs (FMT 2024)","https://flexmonitoring.org/sites/flexmonitoring.umn.edu/files/media/state-medians-2024data_report-final_2026.pdf","endorse","Wholly owned GHA sub; partnerships ""at a discounted fee and/or with added benefits""; endorsements often exclusive (per GHA)","https://www.gha.org/GHHSEndorsedServices","ARxChange (patient financial); ModusOne (CDI); HSC (enrollment)","low","No denials/appeals partner on GHHS list; ModusOne is adjacent (documentation).","N","A","(judgment) Open slot, 29 CAHs, exclusive endorsement model, plus GA RHTP ARCHER tech fund.","2026-09-24"
"State hospital association service arm","Healthcare Association of Hawaii","hah.org","HI","HI","170 member orgs incl. all acute hospitals; 9 CAHs (FMT 2024)","https://hah.org/about","sponsor","Associate membership for vendors only; no endorsed program (per HAH)","https://hah.org/join","none found","low","No endorsement program.","N","C","(judgment) No program; small CAH count.","2026-09-24"
"State hospital association service arm","Healthcare Business Ventures (VENTURES, Idaho Hospital Association)","teamiha.org/hospital-services/ventures","ID","ID","26 CAHs (FMT 2024)","https://flexmonitoring.org/sites/flexmonitoring.umn.edu/files/media/state-medians-2024data_report-final_2026.pdf","endorse","""wholly owned subsidiary of IHA""; ""Revenue Cycle & Operations Management"" category lists Ovation Healthcare under ""Revenue Cycle Management Solutions"" (per IHA, seen 2026-09-24)","https://teamiha.org/partner-category/revenue-cycle-operations-management/","Ovation Healthcare (RCM)","high","Ovation (RCM outsourcing, a named competitor family with Amplify RCM) holds the RCM category (new finding this pass).","Y: MHA Ventures (MT) lists MHA Peer Review Network with an Idaho (208) contact; weak regional tie","B","(judgment) 26 CAHs and an active program, but Ovation sits in RCM; possible sit-next-to as a tool Ovation could use.","2026-09-24"
"State hospital association service arm","IHA Business Resources (Illinois Health and Hospital Association)","team-iha.org","IL","IL (+Midwest via IPC GPO)","200+ hospitals (CEO LinkedIn); 53 CAHs (FMT 2024)","https://flexmonitoring.org/sites/flexmonitoring.umn.edu/files/media/state-medians-2024data_report-final_2026.pdf","endorse/contract","Strategic Partner Program for solutions complementing GPO, insurance, informatics, ""care-related and billing offerings""; application form (per IHA)","https://team-iha.org/business-resources/strategic-partner-program","none found (partner list not public; IHA runs in-house payer escalation)","med","No named denials partner; IHA's own Patient Financial Services does payer advocacy and IPC is Premier-linked.","N","A","(judgment) 53 CAHs and an open application; the slot looks open but the partner list is not public.","2026-09-24"
"State hospital association service arm","IHA Solutions (Indiana Hospital Association)","partners.ihaconnect.org","IN","IN","170+ hospitals (IHA 2024); 33 CAHs (FMT 2024)","https://flexmonitoring.org/sites/flexmonitoring.umn.edu/files/media/state-medians-2024data_report-final_2026.pdf","endorse","Endorsed Business Partner program covering ""workforce, revenue cycle, and operations""; hospital-executive selection committee; discounts required; CorroHealth ""SERVICES ENDORSED by IHA: Price transparency products and/or services"" (per IHA, re-fetched 2026-09-24)","https://partners.ihaconnect.org/_corrohealth","CorroHealth (price transparency only); Kodiak Solutions (payor scorecard/RCM analytics); MCAG; Dexur","med","CorroHealth is endorsed only for price transparency (verified); Kodiak's denial-rate scorecard is complementary.","N","A","(judgment) Denials/appeals scope not held; 33 CAHs; active program with named director.","2026-09-24"
"State hospital association service arm","ServiShare (Iowa Hospital Association)","servishareonline.org","IA","IA","81 CAHs (FMT 2024)","https://flexmonitoring.org/sites/flexmonitoring.umn.edu/files/media/state-medians-2024data_report-final_2026.pdf","endorse","IHA subsidiary; ""ServiShare and partner CorroHealth provide experts and web-based solutions to help your organization with pricing, coding, reimbursement and compliance"" under ""Reimbursement, Pricing, Coding & Contract Management"" (per ServiShare, re-fetched 2026-09-24)","https://servishareonline.org/service/price-transparency","CorroHealth (pricing, coding, reimbursement); AblePay; MCAG","med","CorroHealth scope reads pricing/coding/reimbursement, not denials/appeals; still a broad CorroHealth foothold (verified wording is wider than price transparency alone).","N","A","(judgment) 81 CAHs, the largest rural base; no denials service category on the ServiShare list.","2026-09-24"
"State hospital association service arm","Kansas Health Service Corporation (KHSC, Kansas Hospital Association)","kha-net.org/aboutkha/khsc","KS","KS","82 CAHs (FMT 2024)","https://flexmonitoring.org/sites/flexmonitoring.umn.edu/files/media/state-medians-2024data_report-final_2026.pdf","endorse","Wholly owned sub; ""endorses 18 different vendor partners""; "">$300,000 annually"" to KHA (undated); CorroHealth page: ""PARAREV, a CorroHealth Company: Price Transparency Solution"" (per KHA, re-fetched 2026-09-24)","https://kha-net.org/AboutKHA/KHSC/KHSCEndorsedServices/CorroHealth","CorroHealth/PARA (price transparency); AblePay (2025); ADP","med","CorroHealth endorsement text is price transparency only (verified; text dates from 2020-21).","N","A","(judgment) 82 CAHs with denials scope not held; active board-run endorsement.","2026-09-24"
"State hospital association service arm","KHA Solutions Group Affinity Partner Program (Kentucky)","kyha.com","KY","KY","126 hospitals; 29 CAHs, 72 rural (KHA Feb 2024); 27 CAHs (FMT 2024)","https://www.hfma.org/wp-content/uploads/2024/02/khaupdate-2024annualconf-kentucky.pdf","endorse","KHASG Board review plus hospital Shark Tank sessions; 2026 flyer lists CorroHealth and FairCode clinical appeal letter writing (per KHA)","https://www.kyha.com/wp-content/uploads/2026/03/KHAAffinityPartnersFlyer.pdf","CorroHealth (payer resolution, AR); FairCode (DRG-downgrade appeal letters); PC3; AblePay","high","Appeal-letter writing already endorsed (FairCode) plus CorroHealth payer resolution.","N","C","(judgment) Two appeals-related vendors already endorsed.","2026-09-24"
"State hospital association service arm","LHA Solutions (Louisiana Hospital Association)","lhasolutions.org","LA","LA","150+ hospitals/systems (LHA); 27 CAHs (FMT 2024)","https://flexmonitoring.org/sites/flexmonitoring.umn.edu/files/media/state-medians-2024data_report-final_2026.pdf","endorse","Shared services org; ""Partner with the Vendor as a preferred provider"", mailings, ""selective joint calls"", appointment help (per LHA Solutions)","https://lhasolutions.org/LHA%20Solutions/LHASolutions/Main/VendorInformation.aspx","CommerceHealthcare; SunRx; HSC (enrollment); Infinx (AI denials) is a 2026 event sponsor only","med","No endorsed denials vendor, but Infinx (AI denials/prior auth) sponsors the 2026 LHA Annual Meeting.","Y: MEDITECH is an LHA Silver Sponsor (2026)","A","(judgment) Open endorsed slot, 27 CAHs, MEDITECH presence; move before Infinx converts sponsorship to endorsement.","2026-09-24"
"State hospital association service arm","Maine Hospital Solutions (Maine Hospital Association)","themha.org","ME","ME","36 hospitals (2019, stale); 16 CAHs (FMT 2024)","https://flexmonitoring.org/sites/flexmonitoring.umn.edu/files/media/state-medians-2024data_report-final_2026.pdf","endorse","For-profit, wholly owned since 1992; partners ""exclusively endorsed""; board includes hospital CFOs (per MHA)","https://themha.org/corporate-affiliates.html","none found (Integrated Revenue Integrity is a corporate affiliate)","low","No RCM/denials endorsement; exclusive model protects a first mover.","N","A","(judgment) 16 CAHs, exclusive endorsement, CFO board; AES past client.","2026-09-24"
"State hospital association service arm","MHA Prime (Maryland Hospital Association)","mhaonline.org","MD","MD","0 CAHs (not in FMT 2024 table); count NOT_FOUND","https://flexmonitoring.org/sites/flexmonitoring.umn.edu/files/media/state-medians-2024data_report-final_2026.pdf","endorse/contract","""Endorsed Business Solutions Partner... Investment: Revenue Share""; Revenue Cycle named as a need (per MHA)","https://mhaonline.org/about-maryland-hospital-association/partnerships","NOT_FOUND","low","Endorsed names not public.","N","C","(judgment) No CAHs; all-payer model state; low rural fit.","2026-09-24"
"State hospital association service arm","Massachusetts Health & Hospital Association Strategic Business Partner Program","mhalink.org","MA","MA","75+ member hospitals (Pivotal/MHA release 2026-09-24); 3 CAHs (FMT 2024)","https://www.financialcontent.com/article/bizwire-2026-9-24-massachusetts-health-and-hospital-association-selects-pivotal-health-as-strategic-idr-business-partner","endorse","Strategic Business Partner Program; ""Finance and Revenue Cycle Management Solutions"" = AblePay, Corpay, MCAG; Pivotal Health named preferred IDR partner 2026-09-24 (per MHA/Pivotal)","https://mhalink.org/about/strategicbusinesspartners","AblePay; Corpay; MCAG; Pivotal Health (IDR)","low","No denials/appeals vendor; IDR is adjacent.","N","B","(judgment) Active and open, but only 3 CAHs; urban-heavy.","2026-09-24"
"State hospital association service arm","MHA Endorsed Business Partner Program / MHA Service Corporation (Michigan)","mha.org","MI","MI","162 members, 51 rural, 37 CAHs (MHA 2022, stale); 35 CAHs (FMT 2024)","https://flexmonitoring.org/sites/flexmonitoring.umn.edu/files/media/state-medians-2024data_report-final_2026.pdf","endorse","Selection committee; EBPs ""pay fees related to the program benefits""; AES consultant Brian Stevens is contact; SmarterDx SmarterDenials ""automatically generating evidence-backed clinical appeal letters"" (per MHA)","https://www.mha.org/business-services/endorsed-business-partner-program/smarterdx/","SmarterDx (AI appeals); CorroHealth (denials, coding, AR); MCAG; ModusOne; AMN RCS","high","Direct AI-appeals competitor SmarterDx endorsed Nov 2025, plus CorroHealth for denials.","N","C","(judgment) Category taken twice, including a direct AI appeals product.","2026-09-24"
"State hospital association service arm","Minnesota Hospital Association Endorsed Business Partner program","mnhospitals.org","MN","MN","75 CAHs (FMT 2024)","https://flexmonitoring.org/sites/flexmonitoring.umn.edu/files/media/state-medians-2024data_report-final_2026.pdf","endorse","""Revenue Cycle Solutions"": AblePay, CommerceHealthcare, CorroHealth, MCAG, ModusOne (per MHA)","https://mnhospitals.org/about/business-partners","CorroHealth; ModusOne; AblePay; CommerceHealthcare; MCAG","high","CorroHealth (denials-capable) endorsed; category is non-exclusive but crowded.","N","B","(judgment) 75 CAHs and a named partnerships lead; non-exclusive list may admit a tool, but CorroHealth overlaps.","2026-09-24"
"State hospital association service arm","MHA Solutions (Mississippi Hospital Association)","mhanet.org","MS","MS","100+ hospitals (undated; reduced by 2023 exits); 73 rural in MHA dataset; 29 CAHs (FMT 2024)","https://flexmonitoring.org/sites/flexmonitoring.umn.edu/files/media/state-medians-2024data_report-final_2026.pdf","endorse/contract","For-profit sub; ""considered a Group Purchasing Organization under the Mississippi State purchasing requirements""; Trilogy RCM ""exclusive provider of hospital revenue cycle services"" (per MHA)","https://www.mhanet.org/Online/Online/Solutions/Endorsed-Partners-List.aspx","Trilogy RCM (exclusive); CorroHealth/PARA; PayZen","high","Trilogy holds exclusive RCM; CorroHealth also endorsed.","N","C","(judgment) RCM exclusivity blocks endorsement; Revenue Cycle Roundtable is education only.","2026-09-24"
"State hospital association service arm","MHA Management Services Corporation (Missouri Hospital Association)","mohospitals.org","MO","MO (+national)","152 hospitals (APS page); 33 CAHs (FMT 2024)","https://flexmonitoring.org/sites/flexmonitoring.umn.edu/files/media/state-medians-2024data_report-final_2026.pdf","resell/contract","For-profit sub ""providing programs to hospitals in Missouri and nationwide"" (Quality Works, HealthCurve, FRA) (per MHA)","https://www.mohospitals.org/about/affiliates-business-services-partnerships/","NOT_FOUND","low","No public RCM endorsement; MHA builds its own services.","N","B","(judgment) 33 CAHs but no public endorsed list; entry via APS RFP or MSC build/resell.","2026-09-24"
"State hospital association service arm","APS (co-owned by Kansas HA and Missouri HA)","apskc.org","KS","KS, MO","350+ member hospitals/orgs (APS)","https://apskc.org/valued-vendor-partnerships/","contract","Regional Services contract portfolio chosen by ""member-driven RFP process""; Vizient partner; earnings support both associations (per APS)","https://apskc.org/valued-vendor-partnerships/","NOT_FOUND","low","Portfolio contents not public.","N","B","(judgment) Large KS/MO rural reach via RFP, but no visible RCM RFP now.","2026-09-24"
"State hospital association service arm","MHA Ventures, Inc. (Montana Hospital Association)","mtha.org/business-solutions/mha-ventures-inc","MT","MT","49 CAHs (FMT 2024)","https://flexmonitoring.org/sites/flexmonitoring.umn.edu/files/media/state-medians-2024data_report-final_2026.pdf","endorse","RFI, demo, financial check, references; CorroHealth (formerly ParaRev) listed under Financial Viability: ""Revenue cycle management & Price Transparency compliance"" (per MHA, re-fetched 2026-09-24)","https://mtha.org/business-solutions/mha-ventures-inc/endorsed-services","CorroHealth (RCM and price transparency); AblePay; MCAG; Healthcare Management (collections); SunRx","high","CorroHealth endorsed for revenue cycle management (verified).","Y: Montana; Glendive Medical Center (Aegis customer) is a Montana CAH","B","(judgment) 49 CAHs and Glendive proof, but CorroHealth holds RCM; pitch as appeals tool beside it.","2026-09-24"
"State hospital association service arm","NHA Services, Inc. (Nebraska Hospital Association)","nhaservices.org","NE","NE","61 CAHs (FMT 2024)","https://flexmonitoring.org/sites/flexmonitoring.umn.edu/files/media/state-medians-2024data_report-final_2026.pdf","endorse","NHA Services Board approval; financial solutions list AblePay, ClaraPrice, Corpay, MCAG (per NHA Services)","https://nhaservices.org/financial-solutions","ClaraPrice (price transparency/contract mgmt); AblePay; MCAG; Corpay","low","No denials/appeals vendor.","N","A","(judgment) 61 CAHs, open slot, named VP Business Partnerships.","2026-09-24"
"State hospital association service arm","Nevada Hospital Association","nvha.net","NV","NV","64 members (undated); 13 CAHs (FMT 2024)","https://flexmonitoring.org/sites/flexmonitoring.umn.edu/files/media/state-medians-2024data_report-final_2026.pdf","refer","Partners page lists public/agency partners only; no vendor program (per NHA)","https://www.nvha.net/partners/","none found","low","No program.","N","C","(judgment) No endorsement mechanism; rural channel is NRHP.","2026-09-24"
"State hospital association service arm","Nevada Rural Hospital Partners (NRHP)","nrhp.org","NV","NV","13 CAHs (NRHP)","https://nrhp.org/who-we-are/","refer/contract","Revenue Cycle Improvement Program incl. ""denials management"" and ""Recommendations for external vendors... assistance with RFPs and coordination of the vendors"" (per NRHP)","https://nrhp.org/what-we-do/revenue-cycle-improvement-program/","none found","low","Shared RCM program recommends vendors; none named.","N","B","(judgment) Directly relevant program, but 13 CAHs is below the reach bar.","2026-09-24"
"State hospital association service arm","Health Shared Services Inc. (New Hampshire Hospital Association)","nhha.org","NH","NH","26 acute + 5 specialty hospitals (NHHA); 13 CAHs (FMT 2024)","https://nhha.org/who-we-are/mission","endorse","EBP runs through HSSI; CEO endorsement letter and introductions; AES (Brian Stevens) is contact (per NHHA)","https://nhha.org/membership/endorsed-partners","AblePay; CommerceHealthcare; MCAG","low","No denials vendor.","N","A","(judgment) Open slot, 26 acute hospitals mostly rural/community, AES-run (one AES deal can cover MI/NH).","2026-09-24"
"State hospital association service arm","NJHA Healthcare Business Solutions (New Jersey)","njha.com","NJ","NJ","400 members; 0 CAHs (not in FMT 2024 table)","https://flexmonitoring.org/sites/flexmonitoring.umn.edu/files/media/state-medians-2024data_report-final_2026.pdf","endorse","Strategic Business Partner Program; Jzanus SMARTWorks ""denials management"" listed (per NJHA)","https://njha.com/business-services/strategic-business-partners","Jzanus (denials mgmt); HBS HIS (coding); Jade Global","med","Jzanus holds denials workflow.","N","C","(judgment) No CAHs and denials taken.","2026-09-24"
"State hospital association service arm","Hospital Services Corporation (HSC, New Mexico Hospital Association)","nmhospitalservices.com","NM","NM (+18 states)","47 member hospitals (NMHA); 13 CAHs (FMT 2024)","https://www.nmhospitals.org/about","endorse/integrate","Wholly owned sub; ""minimum monthly marketing fee"" or ""negotiated percentage"" of fees; owns HealthXnet clearinghouse (per HSC)","https://docest.com/doc/595811/hospital-services-corporation","none found (HealthXnet is HSC's own eligibility/clearinghouse tool)","low","No denials vendor; own clearinghouse is an integration rail.","N","A","(judgment) 47 mostly rural/community hospitals, open slot, clearinghouse integration angle.","2026-09-24"
"State hospital association service arm","HANYS Marketplace (Healthcare Association of New York State)","hanysmarketplace.com","NY","NY","241 hospitals/systems (HANYS 2024); 19 CAHs (FMT 2024)","https://flexmonitoring.org/sites/flexmonitoring.umn.edu/files/media/state-medians-2024data_report-final_2026.pdf","endorse","""for-profit subsidiary""; every partner ""thoroughly vetted""; 5+ partners added in 2026 (per HANYS)","https://hanysmarketplace.com/providers/revenue_cycle_finance","LegalClaims.AI; MCAG; Thirdwave RX; DataGen; SpendMend","low","No denial-appeals partner on current RCM page.","N","A","(judgment) Open, actively adding AI finance partners, 19 CAHs.","2026-09-24"
"State hospital association service arm","Iroquois Healthcare Association / United Iroquois Shared Services (UISS)","iroquois.org","NY","Upstate NY (32 counties)","50+ hospitals/systems incl. majority of NY CAHs (IHA); 19 NY CAHs (FMT 2024)","https://iroquois.org/","refer/contract","Business Associate Membership $1,000/$5,000/$10,000; Elite members can run an educational webinar; membership ""does not indicate endorsement"" (per IHA 2026 offering)","https://eadn-wc01-13855495.nxedge.io/wp-content/uploads/2026/01/2026-Business-Associate-Membership-Offering-1-5-26-1.pdf","none found (Elite: Paymerang, Third Party Reimbursement Solutions, NaluPay)","low","No RCM/denials vendor among associates.","N","B","(judgment) Best NY rural reach, but paid membership is not endorsement.","2026-09-24"
"State hospital association service arm","NCHA Strategic Partners (North Carolina Healthcare Association)","ncha.org/strategic-partners","NC","NC (+Capstone members)","150+ hospitals (NCHA); 20 CAHs (FMT 2024)","https://flexmonitoring.org/sites/flexmonitoring.umn.edu/files/media/state-medians-2024data_report-final_2026.pdf","endorse","Wholly owned sub; ""comprehensive strategic vetting process""; Solution Station (per NCHA)","https://www.ncha.org/strategic-partners/","AblePay; RetroCheck; Qualify Health; MCAG; Util Auditors","low","No denials/appeals partner on 2026 list.","N","A","(judgment) Open slot, 20 CAHs, named president.","2026-09-24"
"State hospital association service arm","HSIsolutions (North Dakota Hospital Association)","ndha.org/services/strategic-business-partners","ND","ND","37 CAHs (FMT 2024)","https://flexmonitoring.org/sites/flexmonitoring.umn.edu/files/media/state-medians-2024data_report-final_2026.pdf","endorse","""Revenue share earned from Strategic Business Partner relationships helps offset the expenses of NDHA""; CorroHealth under Revenue Cycle (per NDHA)","https://ndha.org/services/strategic-business-partners","CorroHealth (revenue cycle)","high","CorroHealth endorsed under Revenue Cycle.","N","B","(judgment) 37 CAHs and AES-advised, but CorroHealth holds revenue cycle.","2026-09-24"
"State hospital association service arm","OHA Solutions / OHA Corporate Partner Program (Ohio Hospital Association)","ohiohospitals.org","OH","OH","252 hospitals (Jan 2026); 32 CAHs (FMT 2024)","https://flexmonitoring.org/sites/flexmonitoring.umn.edu/files/media/state-medians-2024data_report-final_2026.pdf","endorse/sponsor","Corporate Partner status brings ""OHA's endorsement"" (Rhyme 2022); OHA publishes denial data (14% initially denied) (per OHA)","https://www.ohiohospitals.org/about/oha-corporate-partner-program/corporate-partner-directory","AblePay; ApolloMD; Util Auditors; Rhyme (prior auth)","med","No denials vendor seen; Xsolis co-hosted appeals-prioritization webinar (not endorsed).","N","A","(judgment) 32 CAHs, denials is an OHA advocacy priority, open application.","2026-09-24"
"State hospital association service arm","OHA Health Services / Preferred Partner Network (Oklahoma Hospital Association)","okoha.com","OK","OK","90 rural incl. 39 CAHs (OHA); 39 CAHs (FMT 2024)","https://www.okoha.com/OHA/OHA/Health_Care_Issues/Rural_Health/Rural_Health.aspx","endorse","Revenue share to OHA; ""16 partners with more than 40 hospitals using one or more"" (per OHA 2023 AR)","https://www.okoha.com/Common/Uploaded%20files/ohadocs/publications%20and%20resources/annual%20reports/2023%20ANNUAL%20REPORT.pdf","Coronis (RCM incl. reduce denials); AblePay","high","Coronis end-to-end RCM that reduces denials is an Endorsed Business Partner.","N","B","(judgment) Strong rural reach, but Coronis overlaps; pitch as a tool.","2026-09-24"
"State hospital association service arm","Hospital Association of Oregon","oregonhospitals.org","OR","OR","59 community hospitals (HAO); 25 CAHs (FMT 2024)","https://oregonhospitals.org/","refer","No business-partner program found; AES past client (per AES)","https://www.aesllc.org/solutions/association-solutions/","none found","low","No program.","N","C","(judgment) No endorsement mechanism.","2026-09-24"
"State hospital association service arm","HAPevolve (Hospital and Healthsystem Association of Pennsylvania)","hapevolve.com","PA","PA","~240 members (2020, stale); 16 CAHs (FMT 2024)","https://flexmonitoring.org/sites/flexmonitoring.umn.edu/files/media/state-medians-2024data_report-final_2026.pdf","endorse","For-profit sub; Endorsed Partners are ""the functionally exclusive provider of a particular category"" (per HAPevolve)","https://hapevolve.com/Partners/Endorsed-Partners","AblePay; CommerceHealthcare","low","No denials/RCM endorsement.","N","A","(judgment) Open and exclusive, 16 CAHs.","2026-09-24"
"State hospital association service arm","Hospital Association of Rhode Island (HARI)","hari.org","RI","RI","15 member hospitals listed (HARI); 0 CAHs (not in FMT 2024 table)","https://www.hari.org/about-hari-2/member-hospitals","sponsor","Affiliate membership program only; no endorsed-vendor arm found (per HARI LinkedIn page)","https://linkedin.com/company/hospital-association-of-rhode-island","none found","low","No program.","N","C","(judgment) No program, no CAHs (new row this pass).","2026-09-24"
