priority	segment	organization	person	title	linkedin
A	EHR/tech/GPO	iatricSystems	James Lich	Vice President, Sales & Marketing	https://www.linkedin.com/in/james-lich-1474b78
A	RCM firms/mgmt cos	Alliant Management Services (Alliant Rural Hospital Solutions)	David Bowling	Chief Operating Officer	https://www.linkedin.com/in/david-bowling-6a0bab1a9
A	RCM firms/mgmt cos	Alliant Management Services (Alliant Rural Hospital Solutions)	Michael Kozar	President and CEO	https://www.linkedin.com/in/michael-kozar-59a60914
A	RCM firms/mgmt cos	JFS, LLC	Kelly Johnston	Founder and President	https://www.linkedin.com/in/kelly-johnston-cpa-55a96442
A	RCM firms/mgmt cos	Revenue Cycle Solutions, LLC (RCS)	Mike Evans	Managing Principal and Co-owner	https://www.linkedin.com/in/mikeevans2020
A	RCM firms/mgmt cos	Revenue Cycle Solutions, LLC (RCS)	Daniel Loch	President, Revenue Cycle Solutions LLC and Ascend Solutions LLC	https://www.linkedin.com/in/danielloch
A	RCM firms/mgmt cos	Tepp Healthcare Consulting	Amy Tepp	Interim Revenue Cycle Executive / Lead Consultant	https://www.linkedin.com/in/amytepp
B	Associations/networks	Affiliated Enterprise Solutions (AES)	Matthew Bobo	Vice President, Affiliated Enterprise Solutions	https://www.linkedin.com/in/matthewbobo
B	Associations/networks	Colorado Hospital Association (CHA Shared Services)	Angela Sigurdson	President, CHA Shared Services & Financial Advisors	https://www.linkedin.com/in/angelasigurdson
B	Associations/networks	Healthcare Business Ventures (VENTURES, Idaho Hospital Association)	Ariel Jenkinson	Vice President, Finance, Idaho Hospital Association / Executive Director, VENTURES	https://www.linkedin.com/in/arieljcpa
B	Associations/networks	IHA Solutions (Indiana Hospital Association)	Kathleen Livingston	Director, Member Solutions (LinkedIn post: Director, Business Partnerships)	https://www.linkedin.com/in/kathleen-livingston-mph-b1115b5a
B	Associations/networks	Kansas Health Service Corporation (KHSC, Kansas Hospital Association)	Steve Poage	Senior VP & CFO, KHA; CEO, KHSC	https://www.linkedin.com/in/steve-poage-7691a3188
B	Associations/networks	North Dakota Hospital Association / HSIsolutions	Tim Blasl	President, North Dakota Hospital Association	https://www.linkedin.com/in/tim-blasl-59a20ab
B	Associations/networks	Pioneer Health Network (Kansas)	Dee Dee Dewell	Executive Director	https://www.linkedin.com/in/dee-dee-dewell-07983629
B	Associations/networks	Rural Wisconsin Health Cooperative (RWHC)	Tim Size	Executive Director (founder)	https://www.linkedin.com/in/tim-size-456b1b4
B	Associations/networks	The Hospital Cooperative (Idaho/Wyoming)	Bobby (Robert) Cuoio	Executive Director / CEO	https://www.linkedin.com/in/bobby-cuoio-6b86303
B	Associations/networks	Wisconsin Hospital Association	Leigh Ann S. Larson	Vice President, Education & Corporate Partnerships	https://www.linkedin.com/in/leigh-ann-s-larson-7186697
B	CPA/advisory	BerryDunn	Dan Vogt	Principal; leader of Healthcare Management and Technology Consulting	https://www.linkedin.com/in/dtvogt
B	CPA/advisory	Blue & Co., LLC	Maddie Gookins	Director - Revenue Cycle	https://www.linkedin.com/in/maddie-gookins-3571281b
B	CPA/advisory	Blue & Co., LLC	Scott Treida	Director (revenue cycle management consulting; business development)	https://www.linkedin.com/in/treidascott
B	CPA/advisory	Eide Bailly	Deyon Suchla	Healthcare Consulting Senior Manager - Revenue Cycle Management and Training	https://www.linkedin.com/in/deyonsuchla
B	CPA/advisory	Eide Bailly	Tyler Schriever	Revenue Cycle and Data Analytics Consulting Manager	https://www.linkedin.com/in/tyler-schriever-cpc-csbi-crcr-336b26137
B	CPA/advisory	Eide Bailly	Brian Bertsch	Principal - Healthcare Consulting	https://www.linkedin.com/in/brianfbertsch
B	CPA/advisory	Eide Bailly	Traci Rabine	Director, Healthcare Consulting (firm page); LinkedIn: Senior Manager - Healthcare Consulting	https://www.linkedin.com/in/traci-rabine-a00952234
B	CPA/advisory	Forvis Mazars US	Daniel Clark	Managing Director, Health Care Performance Advisory Services - Revenue Cycle	https://www.linkedin.com/in/daniel-clark-55378464
B	CPA/advisory	Forvis Mazars US	Steven Smith	Director / Rural Health, Operations, Revenue Cycle, RHCs and FQHCs	https://www.linkedin.com/in/stevensmith0526
B	CPA/advisory	Stroudwater Associates	Ryan Breneman	Senior Consultant	https://www.linkedin.com/in/brenemanryan
B	CPA/advisory	Stroudwater Associates	Jeff Sommer	Managing Director	https://www.linkedin.com/in/jeff-sommer-23b18949
B	CPA/advisory	Wipfli	Nicholas Smith	Partner - Healthcare Consulting	https://www.linkedin.com/in/nicholasephraimsmith
B	EHR/tech/GPO	Altera Digital Health	Mark Bruno	EVP, Paragon business unit	https://www.linkedin.com/in/mark-bruno-atlanta
B	EHR/tech/GPO	CereCore	Taylor White	Regional Vice President, Business Development	https://www.linkedin.com/in/taylor-white-26565a11
B	EHR/tech/GPO	CereCore	Matt McCue	Regional Vice President (business development)	https://www.linkedin.com/in/matthewrmccue
B	EHR/tech/GPO	Oracle Health (Cerner)	Jake Engle	Sr. Director & Business Developer (partner programs for SIs; moved developer program into OPN)	https://www.linkedin.com/in/jakeengle
B	EHR/tech/GPO	Oracle Health (Cerner)	Austin Stephenson	Director - Strategic Partner Development	https://www.linkedin.com/in/austin-stephenson-mba-5775362b
B	EHR/tech/GPO	Oracle Health (Cerner)	Justin DeNegri	Director of Healthcare Sales Executives, Great Lakes (Oracle Health)	https://www.linkedin.com/in/justin-denegri-mba-mha-a147a116
B	EHR/tech/GPO	Premier Inc.	Leann Spadaro	Director, Supplier Growth & Innovation	https://www.linkedin.com/in/leann-spadaro
B	EHR/tech/GPO	Vizient	Dan Skelly	Senior Director Program Services (IT Sourcing)	https://www.linkedin.com/in/danskelly
B	EHR/tech/GPO	Vizient / Captis	Matthew Nelson	Sr. Director, Strategic Sourcing Partnerships and Programs (Captis)	https://www.linkedin.com/in/matthew-nelson-mba-45b7bb67
B	EHR/tech/GPO	Waystar	Kirk R. Willingham	Vice President, Channel Sales	https://www.linkedin.com/in/kirk-r-willingham-7a3a1b4
B	RCM firms/mgmt cos	Community Hospital Corporation (CHC)	David Domingue	SVP Business Development	https://www.linkedin.com/in/daviddomingue
B	RCM firms/mgmt cos	Community Hospital Corporation (CHC)	Jim Kendrick	President and CEO	https://www.linkedin.com/in/jim-kendrick-a8993631
B	RCM firms/mgmt cos	DMGordonConsulting / Smart Cookies Consulting	Diane Meredith-Gordon	Owner	https://www.linkedin.com/in/diane-meredith-gordon-58950813
B	RCM firms/mgmt cos	HealthTech (formerly HealthTechS3 / Brim Healthcare)	Derek Morkel	CEO (LinkedIn, since Mar 2025) / Chairman (company website)	https://www.linkedin.com/in/derek-morkel-0ba9426
B	RCM firms/mgmt cos	JTS Health Partners	Thomas D. Stewart, Jr., CPA	President, CEO & Co-Founder	https://www.linkedin.com/in/thomas-d-stewart-jr-cpa-29a81422
B	RCM firms/mgmt cos	Ovation Healthcare (formerly QHR Health)	Brendan Rokke	Chief Strategy Officer; President, Leadership Advisory	https://www.linkedin.com/in/brendanrokke
B	RCM firms/mgmt cos	Panacea Healthcare Solutions	Kevin Chmura	Chief Executive Officer	https://www.linkedin.com/in/kevinchmura
B	RCM firms/mgmt cos	ruralMED Revenue Cycle Resources (ruralMED Management Resources)	Hayley Prosser	Director of Revenue Cycle Services	https://www.linkedin.com/in/hayley-prosser-763723127
C	Associations/networks	National Cooperative of Health Networks Association (NCHN)	Linda K. Weiss	Executive Director	https://www.linkedin.com/in/linda-k-weiss-95648819
C	CPA/advisory	CLA (CliftonLarsonAllen)	Jill Sigelman	Technical Director (CLA site) / Principal, Reimbursement (LinkedIn)	https://www.linkedin.com/in/jillsigelman
C	CPA/advisory	Draffin Tucker	Stephen Harrell	Partner, Audit and Accounting (healthcare focus)	https://www.linkedin.com/in/stephen-harrell-81b65137
C	CPA/advisory	Forvis Mazars US	Joseph Watt	Healthcare Partner	https://www.linkedin.com/in/joseph-watt-83157b22
C	CPA/advisory	Wintergreen	Gregory Wolf	Co-Founder and Principal	https://www.linkedin.com/in/gregory-wolf-42652629
C	CPA/advisory	Wipfli	Janine Ellingson	Revenue Cycle Consultant II	https://www.linkedin.com/in/janine-ellingson-1143583a3
C	EHR/tech/GPO	Altera Digital Health	Chris Dezio	Vice President of Growth Strategy and Vendor Management	https://www.linkedin.com/in/cdezio
C	EHR/tech/GPO	Availity	Tani Herman	Director, Strategic Alliances	https://www.linkedin.com/in/tanikonelson
C	EHR/tech/GPO	Experian Health	Joanna Bayer	Strategic Partnerships Manager, Healthcare	https://www.linkedin.com/in/joannaobayer
C	EHR/tech/GPO	MEDHOST	Colin Clarkson	Vice President, IT Business Development and Internal Operations	https://www.linkedin.com/in/colinjclarkson
C	RCM firms/mgmt cos	HealthTech (formerly HealthTechS3)	Margaret Bistrovich	VP of Revenue Cycle Client Services	https://www.linkedin.com/in/margaret-bistrovich-5389a6337
C	RCM firms/mgmt cos	Independent (Self and Consulting Groups)	Linda Bouchard	Revenue Cycle Director, Strategist and Executive Consultant	https://www.linkedin.com/in/linda-bouchard-crcr-98131640
C	RCM firms/mgmt cos	Independent consultant	Janet Jones	Revenue Cycle Consultant, Interim Leadership (Independent)	https://www.linkedin.com/in/janet-jones-rn-b3085a13b
C	RCM firms/mgmt cos	MCCM Group / Diamond Distinctions BOS	Jason McCormick	Senior Rural Healthcare Consultant; Founder, Diamond Distinctions BOS	https://www.linkedin.com/in/jmccormickmba
C	RCM firms/mgmt cos	Ovation Healthcare - Amplify RCM	Scott Cooper	President, Amplify RCM	https://www.linkedin.com/in/scottbenjamincooper
C	RCM firms/mgmt cos	Rural Healthcare Financial Partners / Healthcare Strategic Solutions, LLC	Amrish Mathur	Partner, RHFP; President, Healthcare Strategic Solutions, LLC	https://www.linkedin.com/in/amrish-mathur-9395097
